127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:31:57, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:31:58, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:31:58, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.125000
127.0.0.1, 2018-04-02 10:32:03, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.245000
127.0.0.1, 2018-04-02 10:32:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:32:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:32:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:32:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:32:46, GET, /admin/default/peek/hello/databases/sql.log, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-04-02 10:32:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:32:51, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.167000
127.0.0.1, 2018-04-02 10:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:32:52, GET, /hello/appadmin/d3_graph_model, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-04-02 10:32:52, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:32:52, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:32:52, GET, /admin/static/css/d3_graph.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:20, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.131000
127.0.0.1, 2018-04-02 10:33:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:33:33, POST, /admin/default/create_file, HTTP/1.1, 303, 0.059000
127.0.0.1, 2018-04-02 10:33:33, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.131000
127.0.0.1, 2018-04-02 10:33:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-02 10:33:50, GET, /admin/default/peek/hello/models/mysql_test.py, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-04-02 10:33:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/default/edit/hello/models/mysql_test.py, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:33:53, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002000
